text,escalation_score_haiku,escalation_score_sonnet,escalation_score_opus,score_variance
"I’ve always had a very good relationship with Vladimir Putin of Russia, but something has happened to him. He has gone absolutely CRAZY! He is needlessly killing a lot of people, and I’m not just talking about soldiers. Missiles and drones are being shot into Cities in Ukraine, for no reason whatsoever. I’ve always said that he wants ALL of Ukraine, not just a piece of it, and maybe that’s proving to be right, but if he does, it will lead to the downfall of Russia! Likewise, President Zelenskyy is doing his Country no favors by talking the way he does. Everything out of his mouth causes problems, I don’t like it, and it better stop. This is a War that would never have started if I were President. This is Zelenskyy’s, Putin’s, and Biden’s War, not “Trump’s,” I am only helping to put out the big and ugly fires, that have been started through Gross Incompetence and Hatred.",6.0,3.0,7.0,4.333333333333333
"President Putin of Russia doesn’t want to have a Cease Fire Agreement with Ukraine, but rather wants to meet on Thursday, in Turkey, to negotiate a possible end to the BLOODBATH. Ukraine should agree to this, IMMEDIATELY. At least they will be able to determine whether or not a deal is possible, and if it is not, European leaders, and the U.S., will know where everything stands, and can proceed accordingly! I’m starting to doubt that Ukraine will make a deal with Putin, who’s too busy celebrating the Victory of World War ll, which could not have been won (not even close!) without the United States of America. HAVE THE MEETING, NOW!!!",6.0,4.0,1.0,6.333333333333334
"I am not happy with the Russian strikes on KYIV. Not necessary, and very bad timing. Vladimir, STOP! 5000 soldiers a week are dying. Lets get the Peace Deal DONE!",4.0,2.0,7.0,6.333333333333333
"Yesterday, China issued Retaliatory Tariffs of 34%, on top of their already record setting Tariffs, Non-Monetary Tariffs, Illegal Subsidization of companies, and massive long term Currency Manipulation, despite my warning that any country that Retaliates against the U.S. by issuing additional Tariffs, above and beyond their already existing long term Tariff abuse of our Nation, will be immediately met with new and substantially higher Tariffs, over and above those initially set. Therefore, if China does not withdraw its 34% increase above their already long term trading abuses by tomorrow, April 8th, 2025, the United States will impose ADDITIONAL Tariffs on China of 50%, effective April 9th. Additionally, all talks with China concerning their requested meetings with us will be terminated! Negotiations with other countries, which have also requested meetings, will begin taking place immediately. Thank you for your attention to this matter!",6.0,0.0,0.0,12.0
"YOU HAVE A SITUATION (RUSSIA-UKRAINE) WHERE YOU HAVE A LOT OF GUNS POINTING AT EACH OTHER, FOOLISHLY—BECAUSE IT WOULD HAVE NEVER HAPPENED IF I WAS PRESIDENT…",6.0,3.0,1.0,6.333333333333334
"We had very good and productive discussions with President Vladimir Putin of Russia yesterday, and there is a very good chance that this horrible, bloody war can finally come to an end — BUT, AT THIS VERY MOMENT, THOUSANDS OF UKRAINIAN TROOPS ARE COMPLETELY SURROUNDED BY THE RUSSIAN MILITARY, AND IN A VERY BAD AND VULNERABLE POSITION. I have strongly requested to President Putin that their lives be spared. This would be a horrible massacre, one not seen since World War II. God bless them all!!!",6.0,3.0,8.0,6.333333333333333
"This is the worst statement that could have been made by Zelenskyy, and America will not put up with it for much longer! It is what I was saying, this guy doesn’t want there to be Peace as long as he has America’s backing and, Europe, in the meeting they had with Zelenskyy, stated flatly that they cannot do the job without the U.S. – Probably not a great statement to have been made in terms of a show of strength against Russia. What are they thinking? https://apnews.com/article/russia-ukraine-war-zelenskyy-starmer-trump-b025877c40ffe0ddf2a92adad1715231",6.0,3.0,2.0,4.333333333333334
"I just spoke with President Claudia Sheinbaum of Mexico. It was a very friendly conversation wherein she agreed to immediately supply 10,000 Mexican Soldiers on the Border separating Mexico and the United States. These soldiers will be specifically designated to stop the flow of fentanyl, and illegal migrants into our Country. We further agreed to immediately pause the anticipated tariffs for a one month period during which we will have negotiations headed by Secretary of State Marco Rubio, Secretary of Treasury Scott Bessent, and Secretary of Commerce Howard Lutnick, and high-level Representatives of Mexico. I look forward to participating in those negotiations, with President Sheinbaum, as we attempt to achieve a “deal” between our two Countries.",4.0,0.0,0.0,5.333333333333334
"Biden gave Liz Cheney a Medal yesterday, even though she has proven to be totally corrupt. She, “Bennie” Thompson, and the rest of the Unselect Committee, destroyed and deleted all evidence from their crooked investigation of January 6th. Cheney has the distinction of losing her Congressional seat by the largest margin in History! The people of Wyoming understood how bad for our Country she was, but Biden rewarded her only because she hated “TRUMP.” She’s a Warmonger of low intelligence. All she wants to do is kill people in “Endless Wars,” with no gain other than to defense companies. Liz Cheney, Cryin’ Adam Kinzinger, Bennie Thompson, and the rest of these dishonest Thugs have gotten away with horrible things under the pretense of January 6th. Nancy Pelosi refused to accept the help which was offered for security. She is responsible, and admitted as much, for all to see, on her daughter’s tape. They have destroyed the lives of many people, and are rewarded by getting Biden Fake Medals. This is not America. January 20th cannot come fast enough. MAKE AMERICA GREAT AGAIN!",2.0,4.0,0.0,4.0
"…Michael Duffey will serve as the next Under Secretary of Defense for Acquisition &amp; Sustainment. Mike has been a strong advocate for our Warfighters and the American Taxpayer throughout his many years of public service, including in the Department of Defense, and the Office of Management and Budget of my First Administration. Mike will drive change at the Pentagon and, as a staunch proponent of an America First approach to our National Defense, will work to revitalize our Defense Industrial Base, and rebuild our Military.  Emil Michael will serve as the Undersecretary of Defense for Research and Engineering. Emil has lived the American Dream by building several successful Tech companies, including Uber. He served as a Special Assistant to the Secretary of Defense when he was a White House Fellow. Emil will ensure that our Military has the most technologically sophisticated weapons in the World, while saving A LOT of money for our Taxpayers. Emil is a graduate of Harvard University, and has a Law degree from Stanford. He is a one of the most respected leaders in the Tech business, and will be a champion for the Troops, and our Great Country….",4.0,2.0,0.0,4.0
"Opposition fighters in Syria, in an unprecedented move, have totally taken over numerous cities, in a highly coordinated offensive, and are now on the outskirts of Damascus, obviously preparing to make a very big move toward taking out Assad. Russia, because they are so tied up in Ukraine, and with the loss there of over 600,000 soldiers, seems incapable of stopping this literal march through Syria, a country they have protected for years. This is where former President Obama refused to honor his commitment of protecting the RED LINE IN THE SAND, and all hell broke out, with Russia stepping in. But now they are, like possibly Assad himself, being forced out, and it may actually be the best thing that can happen to them. There was never much of a benefit in Syria for Russia, other than to make Obama look really stupid. In any event, Syria is a mess, but is not our friend, &amp; THE UNITED STATES SHOULD HAVE NOTHING TO DO WITH IT. THIS IS NOT OUR FIGHT. LET IT PLAY OUT. DO NOT GET INVOLVED!",6.0,2.0,3.0,4.333333333333334
"As everyone is aware, thousands of people are pouring through Mexico and Canada, bringing Crime and Drugs at levels never seen before. Right now a Caravan coming from Mexico, composed of thousands of people, seems to be unstoppable in its quest to come through our currently Open Border. On January 20th, as one of my many first Executive Orders, I will sign all necessary documents to charge Mexico and Canada a 25% Tariff on ALL products coming into the United States, and its ridiculous Open Borders. This Tariff will remain in effect until such time as Drugs, in particular Fentanyl, and all Illegal Aliens stop this Invasion of our Country! Both Mexico and Canada have the absolute right and power to easily solve this long simmering problem. We hereby demand that they use this power, and until such time that they do, it is time for them to pay a very big price!",4.0,0.0,0.0,5.333333333333334
"I am honored to announce that I have nominated Pete Hegseth to serve in my Cabinet as The Secretary of Defense. Pete has spent his entire life as a Warrior for the Troops, and for the Country. Pete is tough, smart and a true believer in America First. With Pete at the helm, America's enemies are on notice - Our Military will be Great Again, and America will Never Back Down…",4.0,3.0,0.0,4.333333333333334
"We are building the biggest and broadest coalition in American Political History. This includes record-breaking numbers of Arab and Muslim Voters in Michigan who want PEACE. They know Kamala and her warmonger Cabinet will invade the Middle East, get millions of Muslims killed, and start World War III. VOTE TRUMP, AND BRING BACK PEACE! https://swampthevoteusa.com/",4.0,8.0,8.0,5.333333333333333
"Mimi Ramirez-Rodriguez was kidnapped and murdered by an illegal alien—leaving behind a 9 year-old girl. I met her grieving mom Carmen tonight in Georgia. With your vote Tuesday, we will end Kamala’s invasion and we will not allow illegals to spill one more drop of American blood.",4.0,0.0,0.0,5.333333333333334
“WARS ARE RAGING—THE WORLD IS SPINNING OUT OF CONTROL WITH KAMALA IN CHARGE…”,2.0,3.0,7.0,7.0
"U.S. leaked highly confidential Documents from Israel. May have come from Defense Department. Israel has been seriously damaged and compromised by this. Wartime strategy and data. Probably came from Defense Department. MUST FIND THE LEAKER! Israel no longer wants to share documents with U.S., and who can blame them!",4.0,4.0,0.0,5.333333333333334
"RT @TeamTrumpPRESIDENT TRUMP: ""We are running against the most radical, most incompetent, most unfit Vice President in history. No one respects her. No one trusts her. No one takes her seriously. Something is clearly wrong with her. She can’t put two sentences together. She is an international joke and is going to end up getting us into a Third World War.""",3.0,8.0,9.0,10.333333333333332
“MYSTERY DRONES SWARMED A U.S. MILITARY BASE FOR 17 DAYS. THE PENTAGON IS STUMPED”,6.0,3.0,0.0,9.0
RT @TrumpLadyTNThey best heed the warning...,2.0,6.0,,8.0
"Things on the campaign against the Communist Left are going very well, but the World is now a very dangerous place. Kamala (and Joe!) is unable to answer even the simplest of questions. It’s CRAZY! If she can’t do that, how can she represent us on stopping World War lll? The answer is simple, she can’t! MAGA2024",3.0,7.0,8.0,7.0
"This Election is about the ECONOMY, INFLATION, OPEN BORDERS (ILLEGAL IMMIGRATION), RESPECT FOR OUR NATION, PREVENTING WORLD WAR lll AND A 1929 STYLE DEPRESSION…",4.0,8.0,0.0,16.0
"The Hostage Crisis in Israel is only taking place because Comrade Kamala Harris is weak and ineffective, and has no idea what she’s doing. I look forward to seeing her at the Debate! Biden failed, and now he spends his day on the beach, plotting and scheming how to take out his once Political Opponent, ME, who took him out both at the Debate, and otherwise. THE OCTOBER 7th ISRAELI CRISIS WOULD NEVER HAVE HAPPENED IF I WERE PRESIDENT!",4.0,2.0,0.0,4.0
"RT @realDonaldTrumpIn an effort to resurrect a “dead” Witch Hunt in Washington, D.C., in an act of desperation, and in order to save face, the illegally appointed “Special Counsel” Deranged Jack Smith, has brought a ridiculous new Indictment against me, which has all the problems of the old Indictment, and should be dismissed IMMEDIATELY. His Florida Document Hoax Case has been completely dismissed. This is merely an attempt to INTERFERE WITH THE ELECTION, and distract the American People from the catastrophes Kamala Harris has inflicted on our Nation, like the Border Invasion, Migrant Crime, Rampant Inflation, the threat of World War III, and more….",,3.0,0.0,4.5
"In an effort to resurrect a “dead” Witch Hunt in Washington, D.C., in an act of desperation, and in order to save face, the illegally appointed “Special Counsel” Deranged Jack Smith, has brought a ridiculous new Indictment against me, which has all the problems of the old Indictment, and should be dismissed IMMEDIATELY. His Florida Document Hoax Case has been completely dismissed. This is merely an attempt to INTERFERE WITH THE ELECTION, and distract the American People from the catastrophes Kamala Harris has inflicted on our Nation, like the Border Invasion, Migrant Crime, Rampant Inflation, the threat of World War III, and more….",4.0,3.0,0.0,4.333333333333334
"“In a stark warning, the U.S. Customs and Border Protection agency is altering all field offices that Iran or its proxies may try to transport “operatives, money or materials” across the southern or northern U.S. borders to conduct a terrorism attack against Americans, according to an agency memo…” https://justthenews.com/government/security/key-homeland-agency-warns-agents-iran-proxies-may-try-cross-border-attack",6.0,4.0,8.0,4.0
"Today’s Attack on Israel cannot be forgotten. It will go down as another moment in History created by a weak and ineffective United States President and Vice President. With time, this situation will only get worse for our Country. It must galvanize the Republican Party, Democrats, Independents, Conservatives, Progressives, Libertarians, and everybody else to put STRENGTH, RESPECT, AND POWER back into the U.S.A. This Attack, just like the Attack of October 7th, or the Ukraine/Russia War, would have never happened if I were President! It is a dangerous and terrible time for the World, and it is almost the entire fault of the incompetent Biden-Harris Administration. It must be changed, and quickly. MAKE AMERICA GREAT AGAIN!",6.0,2.0,3.0,4.333333333333334
"2024 is our final battle. With your help, we will demolish the Deep State, we will expel the warmongers from our government, we will drive out the globalists, we will cast out the Communists, Marxists, and Fascists, we will throw off the sick political class that hates our country, we will Drain the Swamp, and we will rescue our country from these tyrants and villains once and for all. The Great Liberation of America Begins on November 5th, 2024—And the Forgotten Man and Woman Will Be Forgotten No Longer! https://www.DonaldJTrump.com",6.0,2.0,2.0,5.333333333333334
CROOKED JOE BIDEN’S INVASION! https://www.DonaldJTrump.com,4.0,2.0,0.0,4.0
CROOKED JOE BIDEN’S INVASION…,4.0,2.0,0.0,4.0
"2024 is our Final Battle. With you at my side, we will demolish the Deep State, we will expel the warmongers from our government, we will drive out the globalists, we will cast out the Communists, Marxists, and Fascists, we will throw off the sick political class that hates our Country, we will rout the Fake News Media, we will Drain the Swamp, and we will liberate our country from these tyrants and villains once and for all!THANK YOU SOUTH CAROLINA!!! https://sc.donaldjtrump.com/",6.0,2.0,2.0,5.333333333333334
"Just three years ago, our economy was booming, the world was safe, and America was strong. Annual incomes went up by more than $6,000 under the Trump administration, and they went down by about $6,000 under the horrible Biden administration — the worst in the history of our country. The 30-year mortgage rate reached a record low of 2.65%. We had no inflation. We had gasoline down to $1.87 per gallon. … Under Crooked Joe Biden, the economy is in shambles and the world is going up in flames. Real incomes have gone down by $7,400 per family. … Cumulative inflation is nearly 20%. … We have war in Europe. We have wars in the Middle East. And we are stumbling into World War III.",6.0,2.0,1.0,7.0
https://www.rsbnetwork.com/news/trump-i-will-prevent-world-war-three/,4.0,7.0,,4.5
https://www.breitbart.com/europe/2023/08/30/call-back-trump-hungarys-orban-tells-tucker-only-trump-can-end-ukraine-war-and-save-the-western-world/,4.0,,1.0,4.5
"The fight in GAZA is “coming home” to the USA. The tens of thousands of strong young men from the Middle East, that have already “invaded” our Country, and are continuing to come, totally unchecked, will become a problem the likes of which we have never seen before. Crooked Joe Biden is a very ignorant (STUPID!) man, who has NEVER been right on a foreign policy issue in his life. CLOSE OUR BORDER, NOW. STOP THE ONSLAUGHT, STOP THE INVASION!",6.0,2.0,0.0,9.333333333333334
RT @realDonaldTrump“TRUMP SPEAKS OUT ON HAMAS WAR ON ISRAEL: ‘AN ACT OF SAVAGERY THAT MUST AND WILL BE CRUSHED’” https://www.rsbnetwork.com/news/trump-speaks-out-on-hamas-war-on-israel-an-act-of-savagery-that-must-and-will-be-crushed/,7.0,0.0,,24.5
“TRUMP SPEAKS OUT ON HAMAS WAR ON ISRAEL: ‘AN ACT OF SAVAGERY THAT MUST AND WILL BE CRUSHED’” https://www.rsbnetwork.com/news/trump-speaks-out-on-hamas-war-on-israel-an-act-of-savagery-that-must-and-will-be-crushed/,6.0,0.0,,18.0
"RT @realDonaldTrumpMark Milley, who led perhaps the most embarrassing moment in American history with his grossly incompetent implementation of the withdrawal from Afghanistan, costing many lives, leaving behind hundreds of American citizens, and handing over BILLIONS of dollars of the finest military equipment ever made, will be leaving the military next week. This will be a time for all citizens of the USA to celebrate! This guy turned out to be a Woke train wreck who, if the Fake News reporting is correct, was actually dealing with China to give them a heads up on the thinking of the President of the United States. This is an act so egregious that, in times gone by, the punishment would have been DEATH! A war between China and the United States could have been the result of this treasonous act. To be continued!!!",6.0,4.0,0.0,9.333333333333334
"Mark Milley, who led perhaps the most embarrassing moment in American history with his grossly incompetent implementation of the withdrawal from Afghanistan, costing many lives, leaving behind hundreds of American citizens, and handing over BILLIONS of dollars of the finest military equipment ever made, will be leaving the military next week. This will be a time for all citizens of the USA to celebrate! This guy turned out to be a Woke train wreck who, if the Fake News reporting is correct, was actually dealing with China to give them a heads up on the thinking of the President of the United States. This is an act so egregious that, in times gone by, the punishment would have been DEATH! A war between China and the United States could have been the result of this treasonous act. To be continued!!!",6.0,4.0,0.0,9.333333333333334
"Russia and China would not be putting ships dangerously off the coast of Alaska if I were President- NO WAY, NO HOW!!! No respect for Biden.",6.0,4.0,8.0,4.0
"Many say that it’s 100 times bigger than Watergate, and yet the Mainstream Media doesn’t even report the fact that Joe Biden has illegally taken millions and millions of dollars from China, Ukraine, and many other countries. Is that why Biden is allowing China to build MILITARY FACILITIES in Cuba, why hundreds of billions of dollars are given, without any control, to Ukraine, or why we allow the Cartels to totally run our horrendous OPEN BORDER? We are a corrupt Country with a corrupt Media!",6.0,2.0,2.0,5.333333333333334
"IT’S TIME!!! WE ARE A NATION IN STEEP DECLINE, BEING LED INTO WORLD WAR III BY A CROOKED POLITICIAN WHO DOESN’T EVEN KNOW HE’S ALIVE, BUT WHO IS SURROUNDED BY EVIL &amp; SINISTER PEOPLE WHO, BASED ON THEIR ACTIONS ON DEFUNDING THE POLICE, DESTROYING OUR MILITARY, OPEN BORDERS, NO VOTER I.D., INFLATION, RAISING TAXES, &amp; MUCH MORE, CAN ONLY HATE OUR NOW FAILING USA. WE JUST CAN’T ALLOW THIS ANYMORE. THEY’RE  KILLING OUR NATION AS WE SIT BACK &amp; WATCH. WE MUST SAVE AMERICA!PROTEST, PROTEST, PROTEST!!!",4.0,8.0,9.0,7.0
https://thepostmillennial.com/breaking-trump-vows-to-prevent-world-war-iii-put-america-first-again-in-epic-cpac-speech,3.0,7.0,,8.0
"Thank you Gavin Wax, very much. The problem is, many of the people that get elected to office know what to do (that’s the easy part), but they have no idea how to pull it off. They don’t know how to talk to the other side, they can’t cajole, be jovial or be, perhaps, angry. As an example, President Putin of Russia would have never gone into Ukraine! https://townhall.com/columnists/gavinwax/2023/02/19/there-is-no-trumpism-without-trump-n2619606",6.0,2.0,4.0,4.0
We wouldn’t have had the War with Russia and Ukraine if I were President. I could also end it in 24 hours—which is what should happen!,6.0,2.0,1.0,7.0
"I found John Bolton to be one of the dumbest people in Government but, I am proud to say, I used him well. A total &amp; unhinged WARMONGER, the red faced “boiler ready to explode” was one of those very stupid voices that got us into the Middle East quicksand. Seven Trillion Dollars, &amp; Millions of deaths later, NOTHING! The good news is that I won big negotiations with this moron by my side. When I brought him into a room with hostile foreign leaders, they thought I was going to war, CONCEEDED ALL!",6.0,3.0,2.0,4.333333333333334
RT: https://truthsocial.com/users/realDonaldTrump/statuses/109009712511776140Am so looking forward to beginning the battle. MAKE AMERICA GREAT AGAIN!!!,6.0,2.0,0.0,9.333333333333334
"Can you imagine that I am constantly under investigation for “bullshit,” while Hunter Biden, whose Crimes are MANY, DEEP, fully documented on his Laptop from Hell (and elsewhere!), and often times directly involve his father, Joe, “the Big Guy,” sits back and doesn’t have a care in the World. The U.S. Attorney in Delaware has been told to do NOTHING, other than make a “sweetheart” deal, if even that. There are two sets of “Justice” in the now Communist USA. Our Country is going to HELL!!!",2.0,4.0,0.0,4.0
"Another, “I told you sooo.” The Stock Market is now, on top of everything else, CRASHING!!! One of the worst seven days in history, one of the worst years in history - and it will only get worse. Wasteful Green New Deal, and other, SPENDING! Interest rates will have to go way up in order to combat record INFLATION. The Fed no longer has a choice. This was all self inflicted, no rhyme or reason. See what difference a Rigged Election can make? Like much else (Ukraine), should never have happened!!",4.0,2.0,0.0,4.0
RT: https://truthsocial.com/users/LouCozzolino/statuses/108957961490912871This is an invasion of our Country!,4.0,2.0,0.0,4.0
"If you look at the words and meaning of the awkward and angry Biden speech tonight, he threatened America, including with the possible use of military force. He must be insane, or suffering from late stage dementia!",6.0,2.0,8.0,9.333333333333332
"Same thing’s going to happen in Wyoming to Virginia “resident” Liz Cheney, that happened in South Carolina to Congressman “Impeach Master” Tom Rice, who lost as an incumbent by 28 points! To me she is nothing less than a war criminal who has done a TERRIBLE job for the Great State of Wyoming!",4.0,0.0,2.0,4.0
"@PeteHegseth: ""Politics has nothing to do with the battlefield which is why President Trump has asked me to say let's make sure all of that comes out. This is about warfighting capability, setting standards high, and making sure we give our men and women everything they need to be successful on the battlefield.""",4.0,2.0,0.0,4.0
